000001Arroz 5kg                                         00000329000000285000005001545S7891234560018 Alimentacao         Graos               UN  10063021Fornecedor A                  A1-01          000400610201800N01545
000002Feijao 1kg                                        00000159000000120000008003250S7891234560025 Alimentacao         Graos               UN  07133319Fornecedor A                  A1-02          000400610201800N03250
000003Oleo de Soja 900ml                                00000124000000098000006002653S7891234560032 Alimentacao         Oleos               UN  15079011Fornecedor B                  A1-03          000400610201800N02653
000004Acucar 2kg                                        00000089000000065000004003692S7891234560049 Alimentacao         Acucares            UN  17011400Fornecedor A                  A1-04          000400610201800N03692
000005Cafe 500g                                         00000189000000142000003003310S7891234560056 Alimentacao         Cafes               UN  09012100Fornecedor C                  A2-01          000400610201800N03310
000006Leite 1L                                          00000065000000048000010003538S7891234560063 Bebidas             Leites              UN  04012010Fornecedor B                  A2-02          000400610201800N03538
000007Paozinho                                          00000035000000021000020006667S7891234560070 Padaria             Paes                UN  19059090Fornecedor D                  B1-01          000400610201800N06667
000008Refrigerante 2L                                   00000098000000069000004504203S7891234560087 Bebidas             Refrigerantes       UN  22021000Fornecedor B                  B1-02          000400610201800N04203
000009Sabao em po 1kg                                   00000145000000108000003503426S7891234560094 Limpeza             Saboes              UN  34025000Fornecedor E                  C1-01          000400610201800N03426
000010Detergente 500ml                                  00000042000000029000009004483S7891234560100 Limpeza             Detergentes         UN  34025000Fornecedor E                  C1-02          000400610201800N04483
