001001Salário Base                           provento    remuneracao         valor               Valor do cadastro do funcionario (RFC-002)                  SSS001todos                         000000000ativo
002002Horas Extras 50%                        provento    remuneracao         horas               Valor da hora normal x quantidade x 1,50                    SSS002mensal                        000000000ativo
003003Horas Extras 100%                       provento    remuneracao         horas               Valor da hora normal x quantidade x 2,00 (domingos/feriados)SSS003mensal                        000000000ativo
004004Adicional Noturno                       provento    remuneracao         percentual          Percentual sobre o salario base (22h-5h)                    SSS004mensal                        000000000ativo
005005Adicional de Insalubridade              provento    remuneracao         percentual          10/20/40% conforme grau (RFC-005)                           SSS005mensal                        000000000ativo
006006Adicional de Periculosidade             provento    remuneracao         percentual          30% sobre o salario base                                    SSS006mensal                        000000000ativo
007007Comissão / Vendas                      provento    remuneracao         percentual          Valor ou percentual conforme politica                       SSS007mensal                        000000000ativo
008008DSR (Descanso Semanal)                  provento    remuneracao         valor               Reflexo de horas extras                                     SSS008mensal                        000000000ativo
009009Salário-Família                       provento    beneficio           cotas               Qtde de cotas conforme tabela (RFC-005)                     NNN009mensal                        000000000ativo
010010Férias + 1/3                           provento    remuneracao         periodo             Em competencia de ferias (1/3 constitucional)               SSS010ferias                        000000000ativo
011020INSS                                    desconto    encargo             automatica          Tabela progressiva (RFC-005)                                NNN020todos                         000000000ativo
012021IRRF                                    desconto    encargo             automatica          Tabela progressiva (RFC-005)                                NNN021todos                         000000000ativo
013022Vale-Transporte                         desconto    beneficio           percentual          6% do salario base, limitado ao custo real do transporte (teNNN022mensal                        000000000ativo
014023Vale-Refeição                         desconto    beneficio           percentual          Valor ou % de participacao                                  NNN023mensal                        000000000ativo
015024Plano de Saúde                         desconto    beneficio           valor               Valor da coparticipacao                                     NNN024mensal                        000000000ativo
016025Faltas / Atrasos                        desconto    remuneracao         dias                Desconto sobre o valor do dia/hora                          NNN025mensal                        000000000ativo
017026Adiantamento                            desconto    remuneracao         valor               Desconto do adiantamento feito                              NNN026mensal                        000000000ativo
018027Pensão Alimentícia                    desconto    remuneracao         percentual          % ou valor fixo conforme decisao judicial                   NNN027mensal                        000000000ativo
019028Contribuição Sindical                 desconto    encargo             valor               Valor quando aplicavel                                      NNN028mensal                        000000000ativo
020363Evento Auditado RFC009                  provento    salario             MENSAL              base                                                        SSS090S                             000000000ativo
021287Evento Auditado RFC009                  provento    salario             MENSAL              base                                                        SSS090S                             000000000ativo
022613Evento Auditado RFC009                  provento    salario             MENSAL              base                                                        SSS090S                             000000000ativo
